"Story","Title","Result","Date","Stability","Duration (s)"
"Insuruanse test","TV Search","ERROR","2017-05-15T19:14:43.600+03:00","0.0","6.36"
"Second story","second scenario","ERROR","2017-05-15T19:14:55.891+03:00","0.0","4.71"
